mid,name,description,region,released_date,poster,director,rating,votecount
22,Pirates of the Caribbean: The Curse of the Black Pearl,Prepare to be blown out of the water.,United States of America,2003-07-09,posters/19995_avatar.jpg,1704,6985,7.5
58,Pirates of the Caribbean: Dead Man's Chest,Jack is back!,"Jamaica, United States of America, Bahamas, Dominica",2006-06-20,posters/19995_avatar.jpg,1704,5246,7
74,War of the Worlds,They're already here.,United States of America,2005-06-28,posters/19995_avatar.jpg,488,2322,6.2
95,Armageddon,The Earth's Darkest Day Will Be Man's Finest Hour,United States of America,1998-07-01,posters/19995_avatar.jpg,865,2482,6.4
118,Charlie and the Chocolate Factory,Willy Wonka is semi-sweet and nuts.,"Australia, United Kingdom, United States of America",2005-07-13,posters/19995_avatar.jpg,510,3624,6.7
155,The Dark Knight,Why So Serious?,"United Kingdom, United States of America",2008-07-16,posters/19995_avatar.jpg,525,12002,8.2
217,Indiana Jones and the Kingdom of the Crystal Skull,The adventure continues . . .,United States of America,2008-05-21,posters/19995_avatar.jpg,488,2495,5.7
254,King Kong,The eighth wonder of the world.,"New Zealand, United States of America, Germany",2005-12-14,posters/19995_avatar.jpg,108,2337,6.6
272,Batman Begins,Evil fears the knight.,"United Kingdom, United States of America",2005-06-10,posters/19995_avatar.jpg,525,7359,7.5
285,Pirates of the Caribbean: At World's End,"At the end of the world, the adventure begins.",United States of America,2007-05-19,posters/19995_avatar.jpg,1704,4500,6.9
296,Terminator 3: Rise of the Machines,The Machines Will Rise.,"Germany, United Kingdom, United States of America",2003-07-02,posters/19995_avatar.jpg,7213,2143,5.9
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Evil Has Reigned For 100 Years...,"United Kingdom, United States of America",2005-12-07,posters/19995_avatar.jpg,5524,2629,6.7
503,Poseidon,Mayday,United States of America,2006-05-12,posters/19995_avatar.jpg,5231,583,5.5
534,Terminator Salvation,The End Begins.,"Germany, Italy, United Kingdom, United States of America",2009-05-20,posters/19995_avatar.jpg,36425,2463,5.9
557,Spider-Man,With great power comes great responsibility.,United States of America,2002-05-01,posters/19995_avatar.jpg,7623,5265,6.8
558,Spider-Man 2,There's a hero in all of us.,United States of America,2004-06-25,posters/19995_avatar.jpg,7623,4321,6.7
559,Spider-Man 3,The battle within.,United States of America,2007-05-01,posters/19995_avatar.jpg,7623,3576,5.9
597,Titanic,Nothing on Earth could come between them.,United States of America,1997-11-18,posters/19995_avatar.jpg,2710,7562,7.5
