movie,genretype,genreid
19995,Action,28
285,Action,28
206647,Action,28
49026,Action,28
49529,Action,28
559,Action,28
99861,Action,28
209112,Action,28
1452,Action,28
10764,Action,28
58,Action,28
57201,Action,28
49521,Action,28
24428,Action,28
1865,Action,28
41154,Action,28
122917,Action,28
1930,Action,28
20662,Action,28
254,Action,28
271110,Action,28
44833,Action,28
135397,Action,28
37724,Action,28
558,Action,28
68721,Action,28
36668,Action,28
8373,Action,28
91314,Action,28
102382,Action,28
20526,Action,28
44912,Action,28
534,Action,28
168259,Action,28
72190,Action,28
127585,Action,28
54138,Action,28
81005,Action,28
9543,Action,28
68726,Action,28
38356,Action,28
217,Action,28
62177,Action,28
188927,Action,28
5174,Action,28
14161,Action,28
76757,Action,28
258489,Action,28
155,Action,28
1726,Action,28
8487,Action,28
1735,Action,28
297761,Action,28
137113,Action,28
9804,Action,28
14869,Action,28
10138,Action,28
102651,Action,28
119450,Action,28
79698,Action,28
64686,Action,28
100402,Action,28
177572,Action,28
47933,Action,28
296,Action,28
118340,Action,28
27205,Action,28
315011,Action,28
49051,Action,28
9799,Action,28
49538,Action,28
131634,Action,28
27022,Action,28
503,Action,28
68735,Action,28
87101,Action,28
1858,Action,28
1966,Action,28
8960,Action,28
6479,Action,28
272,Action,28
18360,Action,28
2080,Action,28
605,Action,28
604,Action,28
76338,Action,28
76341,Action,28
10195,Action,28
19585,Action,28
177677,Action,28
10196,Action,28
956,Action,28
117251,Action,28
36669,Action,28
43074,Action,28
95,Action,28
608,Action,28
2310,Action,28
140300,Action,28
56292,Action,28
616,Action,28
147441,Action,28
13475,Action,28
557,Action,28
82702,Action,28
10048,Action,28
13183,Action,28
944,Action,28
1927,Action,28
72559,Action,28
7364,Action,28
2114,Action,28
1771,Action,28
36643,Action,28
1724,Action,28
2503,Action,28
102899,Action,28
101299,Action,28
8961,Action,28
417859,Action,28
27576,Action,28
82700,Action,28
38055,Action,28
49524,Action,28
22,Action,28
19995,Adventure,12
285,Adventure,12
206647,Adventure,12
49529,Adventure,12
559,Adventure,12
99861,Adventure,12
767,Adventure,12
209112,Adventure,12
1452,Adventure,12
10764,Adventure,12
58,Adventure,12
57201,Adventure,12
49521,Adventure,12
2454,Adventure,12
24428,Adventure,12
1865,Adventure,12
122917,Adventure,12
1930,Adventure,12
20662,Adventure,12
57158,Adventure,12
2268,Adventure,12
254,Adventure,12
271110,Adventure,12
44833,Adventure,12
135397,Adventure,12
37724,Adventure,12
558,Adventure,12
68721,Adventure,12
12155,Adventure,12
36668,Adventure,12
8373,Adventure,12
91314,Adventure,12
68728,Adventure,12
102382,Adventure,12
20526,Adventure,12
49013,Adventure,12
44912,Adventure,12
127585,Adventure,12
54138,Adventure,12
9543,Adventure,12
68726,Adventure,12
38356,Adventure,12
217,Adventure,12
105864,Adventure,12
62177,Adventure,12
188927,Adventure,12
14161,Adventure,12
76757,Adventure,12
258489,Adventure,12
411,Adventure,12
14160,Adventure,12
15512,Adventure,12
1726,Adventure,12
44826,Adventure,12
8487,Adventure,12
1735,Adventure,12
297761,Adventure,12
9804,Adventure,12
14869,Adventure,12
278927,Adventure,12
10138,Adventure,12
58595,Adventure,12
102651,Adventure,12
79698,Adventure,12
64686,Adventure,12
100402,Adventure,12
10192,Adventure,12
158852,Adventure,12
177572,Adventure,12
82690,Adventure,12
5255,Adventure,12
47933,Adventure,12
10191,Adventure,12
118340,Adventure,12
157336,Adventure,12
27205,Adventure,12
315011,Adventure,12
49051,Adventure,12
49538,Adventure,12
131634,Adventure,12
27022,Adventure,12
503,Adventure,12
810,Adventure,12
68735,Adventure,12
87101,Adventure,12
10140,Adventure,12
1858,Adventure,12
1966,Adventure,12
675,Adventure,12
674,Adventure,12
118,Adventure,12
18360,Adventure,12
2080,Adventure,12
605,Adventure,12
109445,Adventure,12
604,Adventure,12
76338,Adventure,12
76341,Adventure,12
10195,Adventure,12
13053,Adventure,12
19585,Adventure,12
57165,Adventure,12
177677,Adventure,12
5559,Adventure,12
10196,Adventure,12
956,Adventure,12
50321,Adventure,12
11619,Adventure,12
266647,Adventure,12
82703,Adventure,12
652,Adventure,12
36669,Adventure,12
95,Adventure,12
608,Adventure,12
2310,Adventure,12
140300,Adventure,12
56292,Adventure,12
147441,Adventure,12
13475,Adventure,12
82702,Adventure,12
944,Adventure,12
72559,Adventure,12
7364,Adventure,12
2114,Adventure,12
1771,Adventure,12
36643,Adventure,12
8619,Adventure,12
50620,Adventure,12
1724,Adventure,12
267935,Adventure,12
281957,Adventure,12
44896,Adventure,12
270946,Adventure,12
9502,Adventure,12
102899,Adventure,12
101299,Adventure,12
74,Adventure,12
8961,Adventure,12
417859,Adventure,12
86834,Adventure,12
17578,Adventure,12
673,Adventure,12
82700,Adventure,12
181533,Adventure,12
671,Adventure,12
22,Adventure,12
19995,Fantasy,14
285,Fantasy,14
559,Fantasy,14
767,Fantasy,14
209112,Fantasy,14
1452,Fantasy,14
58,Fantasy,14
49521,Fantasy,14
2454,Fantasy,14
1865,Fantasy,14
122917,Fantasy,14
1930,Fantasy,14
57158,Fantasy,14
2268,Fantasy,14
558,Fantasy,14
12155,Fantasy,14
68728,Fantasy,14
102382,Fantasy,14
127585,Fantasy,14
81005,Fantasy,14
9543,Fantasy,14
62177,Fantasy,14
76757,Fantasy,14
411,Fantasy,14
1735,Fantasy,14
297761,Fantasy,14
2698,Fantasy,14
278927,Fantasy,14
58595,Fantasy,14
102651,Fantasy,14
64686,Fantasy,14
10192,Fantasy,14
5255,Fantasy,14
10191,Fantasy,14
49051,Fantasy,14
4922,Fantasy,14
27022,Fantasy,14
241259,Fantasy,14
810,Fantasy,14
68735,Fantasy,14
10140,Fantasy,14
675,Fantasy,14
674,Fantasy,14
8960,Fantasy,14
118,Fantasy,14
2062,Fantasy,14
18360,Fantasy,14
76338,Fantasy,14
10195,Fantasy,14
19585,Fantasy,14
62213,Fantasy,14
10196,Fantasy,14
266647,Fantasy,14
43074,Fantasy,14
81188,Fantasy,14
557,Fantasy,14
82702,Fantasy,14
205584,Fantasy,14
2114,Fantasy,14
50620,Fantasy,14
267935,Fantasy,14
228161,Fantasy,14
417859,Fantasy,14
673,Fantasy,14
181533,Fantasy,14
671,Fantasy,14
49524,Fantasy,14
22,Fantasy,14
19995,Science Fiction,878
49529,Science Fiction,878
99861,Science Fiction,878
1452,Science Fiction,878
49521,Science Fiction,878
24428,Science Fiction,878
41154,Science Fiction,878
271110,Science Fiction,878
44833,Science Fiction,878
135397,Science Fiction,878
68721,Science Fiction,878
36668,Science Fiction,878
8373,Science Fiction,878
91314,Science Fiction,878
20526,Science Fiction,878
44912,Science Fiction,878
534,Science Fiction,878
72190,Science Fiction,878
127585,Science Fiction,878
54138,Science Fiction,878
68726,Science Fiction,878
38356,Science Fiction,878
188927,Science Fiction,878
14161,Science Fiction,878
76757,Science Fiction,878
246655,Science Fiction,878
15512,Science Fiction,878
1726,Science Fiction,878
8487,Science Fiction,878
297761,Science Fiction,878
137113,Science Fiction,878
14869,Science Fiction,878
10138,Science Fiction,878
119450,Science Fiction,878
79698,Science Fiction,878
100402,Science Fiction,878
158852,Science Fiction,878
47933,Science Fiction,878
296,Science Fiction,878
118340,Science Fiction,878
157336,Science Fiction,878
27205,Science Fiction,878
315011,Science Fiction,878
49538,Science Fiction,878
131634,Science Fiction,878
87101,Science Fiction,878
1858,Science Fiction,878
6479,Science Fiction,878
2080,Science Fiction,878
605,Science Fiction,878
604,Science Fiction,878
76341,Science Fiction,878
95,Science Fiction,878
608,Science Fiction,878
13475,Science Fiction,878
13183,Science Fiction,878
1927,Science Fiction,878
72559,Science Fiction,878
2114,Science Fiction,878
1771,Science Fiction,878
1724,Science Fiction,878
102899,Science Fiction,878
101299,Science Fiction,878
228161,Science Fiction,878
74,Science Fiction,878
82700,Science Fiction,878
38055,Science Fiction,878
206647,Crime,80
49026,Crime,80
10764,Crime,80
5174,Crime,80
155,Crime,80
297761,Crime,80
9799,Crime,80
272,Crime,80
944,Crime,80
8961,Crime,80
49524,Crime,80
49026,Drama,18
254,Drama,18
597,Drama,18
72190,Drama,18
64682,Drama,18
17979,Drama,18
155,Drama,18
44826,Drama,18
150540,Drama,18
278927,Drama,18
58595,Drama,18
119450,Drama,18
64686,Drama,18
157336,Drama,18
315011,Drama,18
4922,Drama,18
27022,Drama,18
503,Drama,18
1966,Drama,18
6479,Drama,18
272,Drama,18
7978,Drama,18
117251,Drama,18
652,Drama,18
616,Drama,18
147441,Drama,18
1927,Drama,18
7364,Drama,18
50620,Drama,18
281957,Drama,18
2503,Drama,18
86834,Drama,18
6972,Drama,18
49026,Thriller,53
10764,Thriller,53
597,Thriller,53
44833,Thriller,53
135397,Thriller,53
37724,Thriller,53
36668,Thriller,53
44912,Thriller,53
534,Thriller,53
72190,Thriller,53
5174,Thriller,53
155,Thriller,53
14869,Thriller,53
119450,Thriller,53
296,Thriller,53
27205,Thriller,53
9799,Thriller,53
4922,Thriller,53
503,Thriller,53
87101,Thriller,53
6479,Thriller,53
2080,Thriller,53
605,Thriller,53
604,Thriller,53
76341,Thriller,53
13448,Thriller,53
177677,Thriller,53
7978,Thriller,53
956,Thriller,53
117251,Thriller,53
36669,Thriller,53
95,Thriller,53
56292,Thriller,53
944,Thriller,53
72559,Thriller,53
2114,Thriller,53
36643,Thriller,53
281957,Thriller,53
2503,Thriller,53
74,Thriller,53
8961,Thriller,53
27576,Thriller,53
38757,Animation,16
62211,Animation,16
49013,Animation,16
10193,Animation,16
105864,Animation,16
62177,Animation,16
10681,Animation,16
17979,Animation,16
14160,Animation,16
15512,Animation,16
150540,Animation,16
10192,Animation,16
177572,Animation,16
82690,Animation,16
5255,Animation,16
10191,Animation,16
810,Animation,16
2062,Animation,16
10527,Animation,16
109445,Animation,16
13053,Animation,16
5559,Animation,16
49444,Animation,16
50321,Animation,16
11619,Animation,16
82703,Animation,16
80321,Animation,16
2310,Animation,16
140300,Animation,16
81188,Animation,16
82702,Animation,16
2114,Animation,16
65759,Animation,16
77950,Animation,16
44896,Animation,16
270946,Animation,16
9502,Animation,16
228161,Animation,16
417859,Animation,16
17578,Animation,16
10567,Animation,16
38055,Animation,16
38757,Family,10751
767,Family,10751
2454,Family,10751
12155,Family,10751
62211,Family,10751
68728,Family,10751
49013,Family,10751
10193,Family,10751
81005,Family,10751
105864,Family,10751
62177,Family,10751
10681,Family,10751
411,Family,10751
14160,Family,10751
15512,Family,10751
44826,Family,10751
2698,Family,10751
150540,Family,10751
278927,Family,10751
102651,Family,10751
10192,Family,10751
158852,Family,10751
177572,Family,10751
82690,Family,10751
5255,Family,10751
10191,Family,10751
810,Family,10751
10140,Family,10751
675,Family,10751
674,Family,10751
118,Family,10751
2062,Family,10751
10527,Family,10751
18360,Family,10751
109445,Family,10751
