,title,bag_of_words
27876,Le ali della libertÃ ,drama usa frankdarabont two imprisoned men bond acts common decency eventual redemption number years finding solace 
15186,Il padrino,crime drama usa francisfordcoppola aging patriarch organized crime dynasty transfers control clandestine empire reluctant son 
46521,Il cavaliere oscuro,action crime drama usa uk christophernolan fight injustice ability batman must accept one menace known people physical tests joker wreaks havoc greatest psychological chaos gotham 
16202,Il padrino - Parte II,crime drama usa francisfordcoppola vito corleone grip career michael tightens portrayed early life 1920s new york city expands family crime syndicate son 
27077,Schindler's List,biography drama history usa stevenspielberg german industrialist occupied poland world war ii 
33340,Il Signore degli Anelli - Il ritorno del re,action adventure drama newzealand usa peterjackson men frodo gaze aragorn lead one ring world gandalf army approach mount doom draw sauron sam 
8711,La parola ai giurati,crime drama usa sidneylumet jury holdout attempts miscarriage forcing justice reconsider colleagues prevent evidence 
27804,Pulp Fiction,crime drama usa quentintarantino lives four tales gangster diner bandits intertwine wife pair redemption boxer two mob hitmen violence 
12266,"Il buono, il brutto, il cattivo",western italy spain westgermany sergioleone remote cemetery find race bounty hunting scam joins two men uneasy alliance fortune gold buried third 
31779,Fight Club,drama usa germany davidfincher something much may insomniac office worker evolves devil underground fight club care soapmaker form 
27498,Forrest Gump,drama romance usa robertzemeckis perspective historical events unfold presidencies kennedy reunited johnson vietnam watergate childhood sweetheart iq 75 whose desire alabama man 
55496,Inception,action adventure sci-fi usa uk christophernolan c given steals corporate secrets sharing technology inverse task mind use e planting thief idea dream 
30642,Il Signore degli Anelli - La compagnia dell'Anello,action adventure drama newzealand usa peterjackson eight companions set powerful one ring meek hobbit save middle earth shire journey destroy dark lord sauron 
80821,Dil Bechara,comedy drama romance india mukeshchhabra boy cancer manny suffering love youngsters emotional journey two hopelessly young girl support group meets kizie 
76004,Montagna II,action drama war turkey alpercaglar line desolate war zone dance disaster innocent echo death valor seven maroon berets screams 
24805,Quei bravi ragazzi,biography crime drama usa martinscorsese story 
19006,L'Impero colpisce ancora,action adventure fantasy usa irvinkershner yoda galaxy rebels brutally overpowered ice planet hoth darth vader bounty hunter named boba fett friends empire pursued luke skywalker begins jedi training 
31534,Matrix,action sci-fi usa lanawachowski lillywachowski computer hacker learns mysterious rebels true nature reality war controllers role 
33341,Il Signore degli Anelli - Le due torri,action adventure drama newzealand usa peterjackson sauron frodo saruman shifty gollum isengard mordor stand help sam edge closer new ally hordes divided fellowship makes 
16789,Qualcuno volÃ² sul nido del cuculo,drama usa milosforman criminal pleads insanity mental institution rebels oppressive nurse rallies scared patients admitted 
25743,Il silenzio degli innocenti,crime drama thriller usa jonathandemme incarcerated b cadet must receive young f madman help manipulative cannibal killer skins victims catch another serial 
30614,Il miglio verde,crime drama fantasy usa frankdarabont lives one charges mysterious gift rape death row guards yet child murder black man accused affected 
