,imdb_title_id,title,year,genre,country,language,director,description,weighted_average_vote,total_votes,mean_vote,median_vote,males_18age_avg_vote,males_30age_avg_vote,males_45age_avg_vote,females_18age_avg_vote,females_30age_avg_vote,females_45age_avg_vote,keywords,bag_of_words
27876,tt0111161,Le ali della libertÃ ,1994,['drama'],['usa'],English,['frankdarabont'],"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",9.3,2278845.0,9.1,10.0,9.3,9.3,9.1,9.2,9.2,9.2,"['number', 'finding', 'solace', 'eventual', 'redemption', 'common', 'decency', 'years', 'two', 'imprisoned', 'men', 'bond', 'acts']",drama usa frankdarabont number finding solace eventual redemption common decency years two imprisoned men bond acts 
15186,tt0068646,Il padrino,1972,"['crime', 'drama']",['usa'],"English, Italian, Latin",['francisfordcoppola'],The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,9.2,1572674.0,8.9,10.0,9.3,9.2,9.2,8.9,8.9,8.9,"['aging', 'patriarch', 'clandestine', 'empire', 'organized', 'crime', 'dynasty', 'transfers', 'control', 'reluctant', 'son']",crime drama usa francisfordcoppola aging patriarch clandestine empire organized crime dynasty transfers control reluctant son 
46521,tt0468569,Il cavaliere oscuro,2008,"['action', 'crime', 'drama']","['usa', 'uk']","English, Mandarin",['christophernolan'],"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,2241615.0,8.9,9.0,9.3,9.0,8.4,8.8,8.7,8.2,"['people', 'joker', 'wreaks', 'havoc', 'fight', 'injustice', 'batman', 'must', 'accept', 'one', 'gotham', 'ability', 'greatest', 'psychological', 'menace', 'known', 'physical', 'tests', 'chaos']",action crime drama usa uk christophernolan people joker wreaks havoc fight injustice batman must accept one gotham ability greatest psychological menace known physical tests chaos 
16202,tt0071562,Il padrino - Parte II,1974,"['crime', 'drama']",['usa'],"English, Italian, Spanish, Latin, Sicilian",['francisfordcoppola'],"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",9.0,1098714.0,8.8,9.0,9.1,9.0,9.0,8.8,8.7,8.7,"['family', 'crime', 'syndicate', 'grip', 'portrayed', 'career', 'son', 'early', 'life', '1920s', 'new', 'york', 'city', 'michael', 'expands', 'vito', 'corleone', 'tightens']",crime drama usa francisfordcoppola family crime syndicate grip portrayed career son early life 1920s new york city michael expands vito corleone tightens 
27077,tt0108052,Schindler's List,1993,"['biography', 'drama', 'history']",['usa'],"English, Hebrew, German, Polish, Latin",['stevenspielberg'],"In German-occupied Poland during World War II, industrialist",8.9,1183248.0,8.7,9.0,9.0,8.9,8.7,9.0,8.9,8.9,"['occupied', 'poland', 'world', 'war', 'ii', 'german', 'industrialist']",biography drama history usa stevenspielberg occupied poland world war ii german industrialist 
33340,tt0167260,Il Signore degli Anelli - Il ritorno del re,2003,"['action', 'adventure', 'drama']","['newzealand', 'usa']","English, Quenya, Old English, Sindarin",['peterjackson'],Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,8.9,1604280.0,8.8,9.0,9.2,8.8,8.6,9.0,8.8,8.7,"['world', 'approach', 'mount', 'doom', 'army', 'sauron', 'frodo', 'draw', 'men', 'one', 'ring', 'sam', 'gandalf', 'gaze', 'aragorn', 'lead']",action adventure drama newzealand usa peterjackson world approach mount doom army sauron frodo draw men one ring sam gandalf gaze aragorn lead 
8711,tt0050083,La parola ai giurati,1957,"['crime', 'drama']",['usa'],English,['sidneylumet'],A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,8.9,668473.0,8.8,9.0,9.1,8.9,8.7,8.9,8.8,8.7,"['miscarriage', 'justice', 'prevent', 'reconsider', 'colleagues', 'forcing', 'evidence', 'jury', 'holdout', 'attempts']",crime drama usa sidneylumet miscarriage justice prevent reconsider colleagues forcing evidence jury holdout attempts 
27804,tt0110912,Pulp Fiction,1994,"['crime', 'drama']",['usa'],"English, Spanish, French",['quentintarantino'],"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,1780147.0,8.7,9.0,9.0,9.0,8.8,8.6,8.5,8.3,"['gangster', 'pair', 'diner', 'bandits', 'intertwine', 'two', 'mob', 'hitmen', 'four', 'tales', 'violence', 'boxer', 'wife', 'redemption', 'lives']",crime drama usa quentintarantino gangster pair diner bandits intertwine two mob hitmen four tales violence boxer wife redemption lives 
12266,tt0060196,"Il buono, il brutto, il cattivo",1966,['western'],"['italy', 'spain', 'westgermany']",Italian,['sergioleone'],A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,8.8,672499.0,8.7,9.0,8.9,8.9,8.7,8.5,8.4,8.2,"['bounty', 'hunting', 'scam', 'joins', 'two', 'men', 'remote', 'cemetery', 'gold', 'buried', 'third', 'find', 'uneasy', 'alliance', 'fortune', 'race']",western italy spain westgermany sergioleone bounty hunting scam joins two men remote cemetery gold buried third find uneasy alliance fortune race 
31779,tt0137523,Fight Club,1999,['drama'],"['usa', 'germany']",English,['davidfincher'],"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",8.8,1807440.0,8.7,9.0,8.9,8.9,8.3,8.8,8.7,8.1,"['much', 'insomniac', 'office', 'worker', 'devil', 'something', 'may', 'care', 'soapmaker', 'form', 'underground', 'fight', 'club', 'evolves']",drama usa germany davidfincher much insomniac office worker devil something may care soapmaker form underground fight club evolves 
